,problems,options
0,有關護理教育在促進護理專業持續發展的現況敘述，下列何者錯誤？,"['護理教育需要因應社會政策和醫療照護型態的轉變而調整', '護理科系學生也需要學習新科技以便勝任未來的社會需求', '現今護理教育應逐漸走向師徒制，以提供教學內容為導向的學習', '護理教育不但重視知識和技術，專業倫理與社會正義的培養同等重要']"
1,孕婦懷孕6個月，近日感覺會陰部極癢，且陰道有黃色分泌物流出，自我沖洗外陰部後，仍舊感到難以忍受，因此決定尋求婦產科醫師診治，依馬斯洛（Maslow）的五大需求階層理論，此時孕婦最需滿足的需求是：,"['生理需求 ', '安全需求 ', '愛及歸屬需求 ', '自尊需求']"
2,手術室刷手的操作，應符合那些標準？①內科無菌 ②外科無菌 ③手應高舉至肩上 ④掌部應高於肘部,"['①③ ', '①④ ', '②③ ', '②④']"
3,醫院出現火災時，緊急應變守則可遵循RACE原則，下列措施何者錯誤？,"['將病人撤離疏散 ', '通報以及啟動警報器', '關閉氧氣與電器設備並打開門窗 ', '油類及電氣火災，可先使用乾粉滅火器滅火']"
4,劉先生對護理人員抱怨說：「我受夠了每天做那麼多復健，醫生來看我的次數又那麼少，我很不滿」，下列何者為最合宜的回應？,"['「我會請醫生把復健次數減少些，這樣好嗎？」', '「聽起來您很生氣，可以再具體多講一點嗎？」', '「我會再請醫生每天多來看您幾次！」', '「醫生是照您的疾病需要，才會安排復健啊！」']"
5,護理師首次照護王先生，先查閱其病歷資料，進入病室後向王先生自我介紹，隨後運用會談方式了解其昨天晚上睡不好的原因，並提供情緒的安撫。王先生感謝地說：「謝謝您這麼關心我，我現在感覺好多了。」有關治療性人際關係過程的敘述，下列何者錯誤？,"['先查閱病歷資料以了解王先生健康狀況，為介紹前期（互動前期）階段', '向王先生自我介紹，為認識期（介紹期）階段', '運用會談方式了解睡不好的原因並提供情緒安撫，為工作期階段', '王先生對護理師的感謝，為結束期階段']"
6,有關病歷保存與管理的敘述，下列何者錯誤？,"['病歷內容未經病人、主治醫師許可，不得將病情洩漏', '病人想要了解病情及預後，需由主治醫師說明', '住院期間，方便醫師查房可先將病歷放在病人單位', '依據醫療法及護理人員法，成年人病歷至少保存7年']"
7,有關護理目標的訂定，下列何者最具體？,"['3/15協助病人下床活動 ', '3/15病人使用止痛藥後疼痛緩解', '3/15病人能增加纖維質的攝取量 ', '3/15病人能說出三種以上富含鐵質的食物']"
8,下列護理評估資料的型態，何者屬於客觀資料（objective data ）？,"['病人主訴：「肚子痛的時間約持續5分鐘」', '病人肌力檢查：右側下肢肌肉力量3分', '病人抱怨昨天夜裡醒來3次 ', '個案母親說病人昨天傷口滲出許多血水', '抗組織胺類藥物配合葡萄柚汁服用，不會影響藥物在肝臟之代謝', '含鈣及鐵離子的藥物若與牛奶併服，容易抑制藥物的吸收']"
9,執行肌肉注射時，下列措施何者正確？,"['針頭插入時，動作宜迅速，以減輕疼痛', '針頭拔出時，動作宜緩慢，以減少刺激', '推藥物進入組織時，動作宜迅速，以縮短注射時間', '選擇管徑大針頭，使藥物可迅速推入組織減少疼痛']"
10,高血壓病人醫囑為acetaminophen 1# P.O. QID 、MgO 1# P.O. BID 、nifedipine 30 mg 1# P.O. QD ，凌晨0：00開始NPO，今日上午10：00進行上腸胃道攝影，至12：30返回病室後測量生命徵象無異常，13：00執行給藥，下列何者最適當？（備註：該院一天四次給藥常規時間為9-13-18-21 ）,"['acetaminophen 1# ', 'acetaminophen 1# 、MgO 1#', 'acetaminophen 2# 、MgO 1#、nifedipine 1# ', 'acetaminophen 1# 、MgO 1#、nifedipine 1#']"
11,關於用熱的合併症，下列敘述何者錯誤？,"['用熱超過1小時，血管會收縮組織會缺氧', '出現全身症狀可能會心跳停止、體液失衡', '引起局部皮膚發紅、敏感、疼痛或水泡 ', '微血管通透性增加，可能會導致水腫加劇']"
12,王女士乳癌，行右側乳房切除術，今抽血鉀離子：3.0 mEq/L ，醫師開立0.9% N/S 500 mL +15% KCL 15 mEqIVD Keep 10 hrs stat. 。將使用精密輸液套管（microdrip set ）滴注，下列措施何者正確？,"['右側上、下肢禁止施打靜脈注射', '備藥時以15 % KCL 20 mEq/10 mL/amp 抽取1.5 mL，加入500 mL N/S 中', '使用精密輸液套管滴數為50滴／每分鐘', '注射部位有發紅、腫脹、壓痛感是注射氯化鉀溶液的正常現象']"
13,輸血時發生咳嗽、心搏過速、高血壓及呼吸困難症狀，最有可能發生下列何種反應？,"['溶血反應 ', '循環負荷過量 ', '過敏性反應 ', '熱原反應']"
14,王先生因服用毛地黃而出現脈搏短絀情況，下列敘述何者錯誤？,"['護理師需同時測量心尖脈及橈動脈來確認', '因為心臟傳導功能失效而導致的脈動改變', '顧慮個案隱私與舒適，所以測量30秒即可', '測量結果心尖脈次數大於橈動脈次數']"
15,有關預防一般藥物周邊靜脈注射時，發生浸潤現象，下列敘述何者錯誤？,"['局部腫脹、壓痛', '給予局部濕冷敷 ', '點滴速度會變慢 ', '停止注射另覓注射部位']"
16,下列何種藥物於注射完後可搓揉按摩，加速吸收？,"['盤尼西林（penicillin ）試驗 ', '胰島素（insulin）注射', '肝素（heparin）注射 ', '鹽酸配西汀（demerol）肌肉注射']"
17,尿液pH值過低的可能原因，下列何者正確？①呼吸性鹼中毒 ②代謝性酸中毒 ③飢餓 ④泌尿道感染,"['①④ ', '②③ ', '①③ ', '②④']"
18,有關膀胱灌洗的目的，下列何者錯誤？,"['沖除膀胱內的異物 ', '保持尿路的通暢', '預防泌尿系統手術後膀胱內血凝塊的形成', '灌入藥物以治療腸胃系統的感染']"
19,記錄導尿管留置病人的輸出入量時，發現3小時中尿袋內的尿量為零，應先執行下列何項處置？,"['準備進行大量輸液 ', '準備重新放置導尿管', '通知醫生進行緊急處理 ', '檢查導尿系統的通暢性', '手掌溫熱聽診器後使用鐘面進行評估', '將聽診器置於左鎖骨中線和第五肋間交會處', '評估完整1分鐘需要注意心率的規則與強度']"
20,病人頭部受傷，腦壓過高，最有可能出現下列何種呼吸型態？,"['呼吸過速（tachypnea ） ', '呼吸暫停（apnea）', '呼吸過慢（bradypnea ） ', '喟嘆式呼吸（sighing respiration ）']"
21,護理人員至病房巡邏時收集到口腔癌病人許多訊息，下列何者為主觀症狀？,"['病人抱怨，左頸腫瘤處有抽痛感 ', '病人閉眼，表情皺眉、不安', '病人移動時左手扶住左頸腫瘤處 ', '病人四處走動，坐立難安']"
22,有關三角巾進行懸臂帶包紮法，下列敘述何者正確？,"['手腕應高於手肘10～12公分 ', '肘關節應＞90度', '手掌心朝外，手腕不可下垂 ', '三角巾的底邊需朝向患側']"
23,病人採批次灌食（bolus feeding ），下列灌食技巧何者錯誤？,"['每次灌食量約為250～350 mL ', '灌食空針的高度與胃部距離為60～90 cm', '灌食速度小於30 mL／分 ', '灌食後採取坐臥或半坐臥至少30分鐘']"
24,長期臥床不動的病人，容易造成那些生理現象？①髖部關節外旋 ②肺部分泌物減少 ③血液黏稠度增加 ④膀胱餘尿減少,"['①② ', '①③ ', '②③ ', '③④']"
25,有關全關節活動型態，下列敘述何者正確？,"['伸展係指肢體移向身體中線 ', '屈曲使肢體間的角度變大', '旋前使前臂旋轉掌心朝下 ', '內翻使手腕朝拇指方向移動']"
26,適當的飲食原則為均衡地攝取六大類食物，下列敘述何者錯誤？,"['肉類以脂肪含量較低者為佳', '每天至少需要3～5碟蔬菜及2～4份的水果', '低脂乳品每天以1杯為限', '素食者之蛋白質攝取以每天同時攝取全穀類、豆類、堅果等為佳']"
27,有關死亡之後遺體的屍斑、屍冷和屍僵的變化，下列敘述何者正確？,"['首先出現的症狀是屍僵 ', '屍僵以較大的肌肉最為明顯', '屍斑約在死後2小時較為明顯 ', '受到壓迫的部位較容易形成屍斑']"
28,有關病人自主權利法，下列敘述何者正確？,"['重度衰弱者為病人自主權利法第14條所規定的適用臨床條件之一', '若病人昏迷或無法清楚表達意願時，僅能由最近親屬出具「同意書」代替之', '意願人得由個人參加「預立醫療照護諮商」後，簽署「預立醫療決定書」即可生效', '預立醫療決定，可選擇接受或拒絕維持生命治療與人工營養及流體餵養']"
29,李先生剛從開發中國家入境，因發燒不適住院，護理師協助收集糞便檢體，下列敘述何者正確？,"['進行阿米巴原蟲糞便檢查前，應先排空膀胱', '收集糞便細菌培養，可直接以棉棒挖取馬桶中糞便', '收集蟯蟲檢體，應於晚間洗澡後立即採檢', '收集糞便蟲卵檢體後，應儘快冷藏，30分鐘內送檢']"
30,安寧病房末期臨終病人已簽署不施行心肺復甦術同意書，案妻看到病人呼吸微弱且意識不清，緊張地要求對病人進行急救，您為其主護護理師，下列回應何者最適當？,"['「病人已經簽署不施行心肺復甦術同意書了」', '「我了解你的心情，您捨不得先生離開」', '「您這樣要求只會造成先生的不舒服而已」', '「先生已經無法起死回生了，您就讓他走吧」', '邀請加入病房護理人員Line群組 ', '隔離裝備介紹及正確穿脫演練', '單位在職教育及課前準備說明 ', '介紹用餐地點及員工廁所位置']"
31,直覺學者蓋瑞‧克萊恩（Gary Klein ）提到決策的直覺能力要如何培養，下列敘述何者正確？①充實的知識②豐富的經驗③財富的累積④良好溝通能力,"['①② ', '②③ ', '③④ ', '①④']"
32,有關醫院輻射、噪音、高溫、空調溫濕度及採光照明不當，屬於下列何種職業危害？,"['物理性危害 ', '生物性危害 ', '化學性危害 ', '心理性危害']"
33,有關應用赫茲伯格（Herzberg）雙因子理論之激勵因素，減少護理人員倦勤與異動所採取的措施，下列何者正確？,"['檢討主管領導方式', '檢討人員上班天數', '提供明確升遷機會', '提供友善工作環境']"
34,有關人才招募的步驟，下列順序何者正確？①擬定招募計畫 ②招募效益評估 ③了解市場人力供需情形 ④分析各種招募管道的特色及效益 ⑤實際進行招募,"['③①④⑤② ', '③④②①⑤ ', '④③①⑤② ', '④③②①⑤']"
35, A病房50床，平均直接護理時數2.0，平均間接護理時數0.5，平均相關護理時數0.5，休假係數為1.6，請問A病房所需的護理人力為多少？,"['27人 ', '28人 ', '29人 ', '30人']"
36,依Sullivan（2008）提出問題解決過程的七步驟中，首要進行下列那一步驟？,"['收集資料 ', '確認問題 ', '分析資料 ', '訂定方案']"
37,有關組織中的授權，下列敘述何者最為適切？,"['授權是組織中最高管理者的特權 ', '授權是主管對自己和對部屬的信賴關係', '授權給能力不足但有意願的部屬是一種鼓勵', '主管在授權後，就能減輕對工作的責任']"
38,有關資訊安全，下列敘述何者正確？,"['下載資料回家整理個案報告 ', '幫忙班內同事一起打下班卡', '借用醫師帳號瀏覽病人病況 ', '確認照護記錄簽章後再下班']"
39,有關SWOT的敘述，下列何者正確？,"['優勢（strength）是指對機構有利的外部因素', '劣勢（weakness ）是指和外界競爭時的有害因素', '機會（opportunity ）是指外在環境中對組織有利的因素', '威脅（threat）包括機構財務、效率、員工素質等問題']"
40,因疫情影響導致單位占床率下降，護理長請護理師支援其他病房護理工作，是運用下列何種影響力？,"['強制影響力（coercive power ） ', '資訊影響力（information power ）', '專家影響力（expert power ） ', '法統影響力（legitimate power ）']"
41,有關品質管理，下列敘述何者正確？,"['醫院品質管理是追求主管滿意的過程', '品質保證（quality assurance ）是依照標準做評核，並找出不良品', '石川馨（Ishikawa）的全面品質管理（total quality management ）是以數據目標管理為主', '戴明（Deming）提出全員參與之品質保證（company-wide quality assurance ）']"
42,有關醫院護理主管預防護理業務糾紛的發生，下列敘述何者最適宜？,"['建立護理技術及常規的標準作業程序 ', '為避免醫療糾紛，護理師不要相互支援', '為避免說錯話，儘量不要回答病人問題 ', '年資增長自然能了解如何預防醫療糾紛']"
